investor_id,wallet,jurisdiction,accredited,kyc_status,kyc_expires,last_reviewed
INV-0001,0xf0cad239c3122034b4bbf44d477834d414ff6f3a,DE,True,active,2026-05-30,2025-10-22
INV-0002,0x3c9cd229452c4bd6ad1647b75c393ac1808795af,US,True,active,2026-11-11,2026-01-06
INV-0003,0xac740b89c4e0f41fd08ca1e379eed3fff171fdaa,US,True,active,2026-02-20,2025-09-26
INV-0004,0x2e363b84e81257f86bbdc79d81973a0a4eb12d81,US,True,active,2026-12-10,2025-09-12
INV-0005,0xc2681893fc94a7a01808d814a3aa27dc17c4616c,US,True,active,2027-01-03,2026-02-05
INV-0006,0x1e45e3bbdc0ca7558cbc5e8a98c155a760b39662,SG,True,active,2026-06-27,2025-09-25
INV-0007,0x597b6ab0fd089f24bf4e92d473845aaf727b449b,CH,True,active,2026-09-09,2025-09-11
INV-0008,0x0b06347cbacf162f45e62d63c6fa3eabf26fbb6e,US,True,active,2026-07-27,2025-11-14
INV-0009,0x49db60c37c9428c85e8343321dc0ac60ddfb250f,US,True,active,2026-08-07,2025-11-02
INV-0010,0xa976b367a66374466661802d945a48a768e53b10,AE,True,active,2026-09-28,2025-09-18
INV-0011,0x4d40189e2ecd5a4b78d0533d96fd3c8c7d0dc6d2,UK,False,active,2026-11-14,2025-09-23
INV-0012,0x100fc225e8f075c45509237fb6e007e6b0400e69,US,True,active,2026-08-09,2025-12-18
INV-0013,0x92eee9786f227dd92f7d77f6a239d9258bde1f86,UK,True,active,2026-06-01,2026-01-15
INV-0014,0x4ef31887fb2f9a559b1caf3f020e9305320ab086,CH,False,active,2026-03-28,2025-11-20
INV-0015,0x0cc8fdc22319465956d8c8b2971e274efe9413e9,ES,True,active,2026-04-29,2026-02-15
INV-0016,0xe5a00ce6fcb0adf06ab9e4836af348ccf9d34011,ES,True,active,2027-01-02,2026-01-14
INV-0017,0xf4239e1321a0864ea8dee7ebbd3fdbacfeab856a,US,True,active,2026-11-05,2025-12-23
INV-0018,0xe3c013439b986f9439801284e5c9d7b3b86d66ba,SG,True,active,2026-12-29,2025-12-25
INV-0019,0xc706c1087f87a3cfde8eeac714d1e95970160890,SG,True,active,2026-03-05,2026-03-06
INV-0020,0x281ed9a1d63ffc2f31fda33e2f68a59f4474a938,US,True,active,2026-07-16,2025-12-19
